Date,iso3,CountryName,Region,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry,NUTS
2022-10-10,AFG,Afghanistan,,,,192801,989,,191812,,,False,False,
2022-10-10,AFG,Afghanistan,,8.621697,0.829685,39189,286,,38903,,,False,False,TG
2022-10-10,AFG,Afghanistan,,54.23782,-4.555111,38008,116,,37892,,,False,False,IM
2022-10-10,AFG,Afghanistan,,40.066181,45.111108,443785,8691,,435094,,,False,False,AM
2022-10-10,AFG,Afghanistan,,9.084575,8.674252,265816,3155,,262661,,,False,False,NG
2022-10-10,AFG,Afghanistan,,7.955012,-1.031819,169685,1459,,168226,,,False,False,GH
2022-10-10,AFG,Afghanistan,,-16.578041,178.416339,68245,878,,67367,,,False,False,FJ
2022-10-10,AFG,Afghanistan,,11.808375,42.595222,15690,189,,15501,,,False,False,DJ
2022-03-23,AFG,Afghanistan,,14.499454,-14.445562,85832,1988,,83844,,,False,False,SN
2022-10-10,AFG,Afghanistan,,3.202833,73.165249,185125,308,,184817,,,False,False,MV
2022-10-10,AFG,Afghanistan,,64.583013,17.86411,1462809,4121,,1458688,,,False,False,NO
2022-10-10,AFG,Afghanistan,,41.379722,64.564459,244334,1637,,242697,,,False,False,UZ
2022-10-10,AFG,Afghanistan,,26.039722,50.559306,683482,1520,,681962,,,False,False,BH
2022-10-10,AFG,Afghanistan,,13.904011,-60.974176,29517,401,,29116,,,False,False,LC
2022-10-10,AFG,Afghanistan,,15.416749,-61.36413,15760,74,,15686,,,False,False,DM
2022-10-10,AFG,Afghanistan,,17.363183,-61.789423,9098,146,,8952,,,False,False,AG
2022-10-10,AFG,Afghanistan,,34.886306,134.379711,21539319,45461,,21493858,,,False,False,JP
2022-10-10,AFG,Afghanistan,,,,15305,17,,15288,,,False,False,MH
2022-02-03,AFG,Afghanistan,,19.054426,-73.045971,29217,876,,28341,,,False,False,HT
2022-10-10,AFG,Afghanistan,,33.892166,9.561556,1145829,29254,,1116575,,,False,False,TN
2022-10-10,AFG,Afghanistan,,17.257731,-62.706413,6545,46,,6499,,,False,False,KN
2022-10-10,AFG,Afghanistan,,5.152149,46.199616,27216,1361,,25855,,,False,False,SO
2022-10-06,AFG,Afghanistan,,,,476571,895,,475676,,,False,False,
2022-10-10,AFG,Afghanistan,,-26.853388,133.275155,10266007,14853,,10251154,,,False,False,AU
2022-10-10,AFG,Afghanistan,,29.310278,47.493515,660667,2564,,658103,,,False,False,KW
2022-10-10,AFG,Afghanistan,,46.860945,103.836986,983610,2131,,981479,,,False,False,MN
2022-10-03,AFG,Afghanistan,,9.624897,-84.253308,1117989,8970,,1109019,,,False,False,CR
2022-10-10,AFG,Afghanistan,,23.624813,-102.578671,7090965,330139,,6760826,,,False,False,MX
2022-10-10,AFG,Afghanistan,,47.697542,13.349319,5252058,20824,,5231234,,,False,False,AT
2021-07-06,AFG,Afghanistan,,-51.800581,-59.528839,60,0,,60,,,False,False,FK
2022-10-10,AFG,Afghanistan,,9.148086,40.493059,493682,7572,,486110,,,False,False,ET
2022-10-10,AFG,Afghanistan,,,,6389,1,,6388,,,False,False,
2022-10-10,AFG,Afghanistan,,41.205528,74.779888,206250,2991,,203259,,,False,False,KG
2022-10-10,AFG,Afghanistan,,49.575693,-2.42318,31545,63,,31482,,,False,False,GG
2022-10-10,AFG,Afghanistan,,46.232193,2.209667,34768791,151846,,34616945,,,False,False,FR
2022-10-10,AFG,Afghanistan,,21.125681,82.794998,44614437,528814,,44085623,,,False,False,IN
2022-10-10,ALB,Albania,Berat,40.6285,20.090775,15781,176,15602,3,1,0,False,False,AL031
2022-10-10,ALB,Albania,Dibër,,,4796,57,4733,6,0,0,False,False,AL011
2022-10-10,ALB,Albania,Durrës,41.518365,19.651766,24130,366,23758,6,0,0,False,False,AL012
2022-10-10,ALB,Albania,Elbasan,41.040028,20.186454,18421,325,18063,33,1,0,False,False,AL021
2022-10-10,ALB,Albania,Fier,40.774633,19.620528,33069,354,32694,21,0,0,False,False,AL032
2022-10-10,ALB,Albania,Gjirokastër,,,12735,101,12621,13,0,0,False,False,AL033
2022-10-10,ALB,Albania,Korçë,40.62883,20.666004,13265,160,13101,4,0,0,False,False,AL034
2022-10-10,ALB,Albania,Kukës,42.066696,20.419467,5395,37,5356,2,0,0,False,False,AL013
2022-10-10,ALB,Albania,Lezhë,41.801452,19.845695,12867,125,12731,11,0,0,False,False,AL014
2022-10-10,ALB,Albania,NOT SPECIFIED,,,,,,0,,,False,False,
2022-10-10,ALB,Albania,Shkodër,42.17682,19.719451,19186,177,18998,11,0,0,False,False,AL015
2022-10-10,ALB,Albania,Tiranë,41.268583,19.793936,146598,1486,144899,213,4,0,False,False,AL022
2022-10-10,ALB,Albania,Vlorë,40.162418,19.793592,25105,225,24861,19,0,0,False,False,AL035
2022-02-03,DZA,Algeria,,19.054426,-73.045971,29217,876,,28341,,,False,False,HT
2022-10-10,DZA,Algeria,,39.896027,-2.487694,13441941,114468,,13327473,,,False,False,ES
2022-10-10,DZA,Algeria,,-16.578041,178.416339,68245,878,,67367,,,False,False,FJ
2022-10-10,DZA,Algeria,,-17.778572,-143.903496,76703,649,,76054,,,False,False,PF
2022-10-10,DZA,Algeria,,32.320236,-64.774022,18220,148,,18072,,,False,False,BM
